left_eye_from_center,right_eye_from_center,start_time,end_time,left_eye_dim,right_eye_dim,left_eye_x,right_eye_x,duration,slide
"[-11.0, -1.5]","[2.5, -2.0]",6.2,6.233333333333333,"(30, 84)","(33, 89)",-11.0,2.5,0.033333333333333215,0
"[-11.0, -1.0]","[3.5, -1.5]",6.233333333333333,6.266666666666667,"(30, 83)","(33, 87)",-11.0,3.5,0.033333333333333215,0
"[-11.5, -1.0]","[0.5, -1.5]",6.266666666666667,6.3,"(30, 82)","(33, 87)",-11.5,0.5,0.033333333333333215,0
"[-11.0, -1.0]","[0.5, -1.5]",6.3,6.933333333333334,"(29, 83)","(32, 87)",-11.0,0.5,0.6333333333333337,0
"[-6.5, 0.5]","[1.5, 1.0]",6.933333333333334,6.966666666666667,"(28, 82)","(32, 86)",-6.5,1.5,0.033333333333333215,0
"[-7.0, 0.0]","[1.0, 1.0]",6.966666666666667,7.0,"(28, 82)","(32, 87)",-7.0,1.0,0.033333333333333215,0
"[-8.0, 0.0]","[2.5, 1.0]",7.0,7.033333333333333,"(27, 83)","(31, 86)",-8.0,2.5,0.033333333333333215,0
"[-6.5, -0.5]","[-1.0, 0.5]",7.033333333333333,7.066666666666666,"(27, 80)","(31, 85)",-6.5,-1.0,0.033333333333333215,0
"[-6.0, -0.5]","[0.5, 0.5]",7.066666666666666,7.1,"(27, 82)","(31, 85)",-6.0,0.5,0.033333333333333215,0
"[-7.0, -0.5]","[-1.5, -0.5]",7.1,7.133333333333333,"(29, 83)","(31, 87)",-7.0,-1.5,0.033333333333333215,0
"[-7.5, -0.5]","[-6.5, -0.5]",7.133333333333333,7.166666666666667,"(31, 88)","(34, 92)",-7.5,-6.5,0.0333333333333341,0
"[-10.0, -2.5]","[0.0, -1.0]",7.166666666666667,7.2,"(31, 89)","(35, 94)",-10.0,0.0,0.033333333333333215,0
"[-10.5, -1.5]","[2.0, -1.5]",7.2,7.233333333333333,"(32, 87)","(33, 90)",-10.5,2.0,0.033333333333333215,0
"[-9.5, -1.0]","[4.0, -0.5]",7.233333333333333,7.266666666666667,"(34, 87)","(36, 88)",-9.5,4.0,0.033333333333333215,0
"[-9.5, -1.0]","[6.0, -1.0]",7.266666666666667,7.3,"(34, 88)","(37, 89)",-9.5,6.0,0.033333333333333215,0
"[-9.0, -2.0]","[5.5, -0.5]",7.3,7.333333333333333,"(34, 87)","(36, 88)",-9.0,5.5,0.033333333333333215,0
